Name,Position,Cost,Rating
Kylian Mbappe,LWF,120,91
Erling Haaland,CF,110,91
Kevin De Bruyne,CMF,100,91
Rodri,DMF,95,90
Harry Kane,CF,95,90
Jude Bellingham,AMF,90,90
Vinicius Junior,LWF,100,89
Mohamed Salah,RWF,85,89
Virgil van Dijk,CB,75,89
Thibaut Courtois,GK,65,89
Alisson Becker,GK,65,89
Ruben Dias,CB,70,89
Bernardo Silva,CMF,80,88
Martin Odegaard,AMF,80,88
Bukayo Saka,RWF,80,88
Antoine Griezmann,SS,75,88
Declan Rice,DMF,75,88
Federico Valverde,CMF,80,88
Ederson,GK,60,88
William Saliba,CB,65,87
Antonio Rudiger,CB,60,87
Phil Foden,AMF,75,87
Son Heung-min,LWF,70,87
Lautaro Martinez,CF,75,87
Jamal Musiala,AMF,85,87
Frenkie de Jong,CMF,70,87
Ronald Araujo,CB,65,86
Eder Militao,CB,65,86
Rafael Leao,LWF,70,86
Victor Osimhen,CF,75,86
Nicolo Barella,CMF,65,86
Trent Alexander-Arnold,RB,55,86
Achraf Hakimi,RB,55,86
Theo Hernandez,LB,55,86
Marc-Andre ter Stegen,GK,55,86
Mike Maignan,GK,55,86
Aurelien Tchouameni,DMF,60,85
Eduardo Camavinga,CMF,55,85
Alessandro Bastoni,CB,60,85
Gabriel Magalhaes,CB,55,85
Alphonso Davies,LB,50,85
Kyle Walker,RB,50,85
Emiliano Martinez,GK,45,85
Florian Wirtz,AMF,70,85
Khvicha Kvaratskhelia,LWF,65,85
Alexander Isak,CF,60,85
Bruno Guimaraes,CMF,60,84
Alexis Mac Allister,CMF,55,84
Dominik Szoboszlai,AMF,55,84
Ollie Watkins,CF,50,84
Jeremie Frimpong,RMF,50,84
Federico Dimarco,LMF,50,84
John Stones,CB,55,84
Ben White,RB,45,84
Guglielmo Vicario,GK,40,84
Micky van de Ven,CB,45,83
Destiny Udogie,LB,40,83
James Maddison,AMF,50,83
Anthony Gordon,LWF,45,83
Cole Palmer,RWF,55,83
Robert Lewandowski,CF,80,88
Karim Benzema,CF,75,87
Marcus Rashford,LWF,60,85
Luis Diaz,LWF,60,85
Rodrygo,RWF,65,86
Ousmane Dembele,RWF,60,85
Leroy Sane,LWF,65,86
Gabriel Martinelli,LWF,55,84
Raphinha,RWF,60,85
Darwin Nunez,CF,50,83
Dusan Vlahovic,CF,55,84
Gabriel Jesus,CF,50,83
Enzo Fernandez,CMF,55,84
Moises Caicedo,DMF,50,83
Pedri,CMF,70,86
Gavi,CMF,60,85
Ilkay Gundogan,CMF,70,87
Hakan Calhanoglu,DMF,70,87
Martin Zubimendi,DMF,55,84
Casemiro,DMF,65,86
Marquinhos,CB,70,87
Matthijs de Ligt,CB,60,85
Dayot Upamecano,CB,55,84
Kim Min-jae,CB,60,85
Manuel Akanji,CB,55,84
Andrew Robertson,LB,65,86
Joao Cancelo,RB,60,85
Reece James,RB,55,84
Pedro Porro,RB,50,83
Gianluigi Donnarumma,GK,65,87
Jan Oblak,GK,70,88
Manuel Neuer,GK,65,87
David Raya,GK,55,84
Jordan Pickford,GK,50,83
Wojciech Szczesny,GK,55,84
Xavi Simons,AMF,60,85
Julian Alvarez,SS,65,86
Marcus Thuram,CF,55,84
Alejandro Grimaldo,LMF,65,86
Diogo Jota,CF,60,85
